area_type,availability,location,size,society,total_sqft,bath,balcony,price
Plot  Area,Ready To Move,Rajankunte,3 Bedroom,,3259,3,0,298
Super built-up  Area,22-Dec,Bannerghatta Road,2 BHK,PrarePa,1115,2,1,93.12
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2072,4,2,167
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,MCngeha,1200,2,2,81
Super built-up  Area,Ready To Move,Singasandra,2 BHK,Phhidx ,1300,2,2,93
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Amivace,1457,2,2,113
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,Marnaer,1262,2,2,83
Plot  Area,Ready To Move,BEML Layout,4 Bedroom,,1196,3,1,178
Super built-up  Area,18-Aug,Ananth Nagar,2 BHK,,900,2,2,50.5
Built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,420,1,1,45
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,,1160,2,1,74.39
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,,1115,2,2,78
Built-up  Area,Ready To Move,JP Nagar,3 BHK,,1315,2,1,113.4
Built-up  Area,Ready To Move,Babusapalaya,2 BHK,,1500,2,2,85
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,SruntFa,1127,2,1,96
Super built-up  Area,18-Feb,Kundalahalli,3 BHK,Dieldli,1397,3,2,132
Built-up  Area,20-Dec,Whitefield,2 BHK,,1173,2,1,88
Super built-up  Area,Ready To Move,Sompura,2 BHK,,1090,2,2,56
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Maana E,2720,5,,238
Super built-up  Area,18-May,Jakkur,2 BHK,BrdgeNo,1230,2,1,104
Super built-up  Area,Ready To Move,6th Block Rajaji Nagar,4 BHK,,3200,3,3,218
Super built-up  Area,19-Dec,Sarjapur  Road,2 BHK,Daivon ,858,2,1,59.57
Super built-up  Area,21-Mar,Talaghattapura,3 BHK,Sodgere,1868,3,1,149
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Baveles,1689.28,3,2,119.2
Built-up  Area,Ready To Move,Vishwapriya Layout,4 BHK,,600,3,2,101
Super built-up  Area,Ready To Move,Banashankari,3 BHK,,1425,3,3,77.88
Plot  Area,Ready To Move,Subramanyapura,6 Bedroom,,1200,6,2,198
Plot  Area,Ready To Move,Tindlu,2 Bedroom,,1350,2,1,128
Built-up  Area,Ready To Move,Channasandra,6 Bedroom,,4200,6,0,208
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Ihnueut,1310,2,1,113
Super built-up  Area,18-Jun,Haralur Road,4 BHK,SNnia E,2805 - 3565,,,203
Super built-up  Area,Ready To Move,MLA Layout,2 BHK,,970,2,1,68
Super built-up  Area,18-May,Kundalahalli,3 BHK,Dieldli,1397,3,3,136
Super built-up  Area,18-Jul,Sarjapur,2 BHK,Vehes L,1157,2,1,68
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,,1125,2,1,89.2
Super built-up  Area,Ready To Move,Sonnenahalli,2 BHK,DSgam S,1157,2,1,70
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,BModsen,1241,2,1,110
Super built-up  Area,19-Dec,Binny Pete,1 BHK,She 2rk,660,1,1,90
Built-up  Area,Ready To Move,Marathahalli,4 BHK,PueraRi,4000,4,3,248
Super built-up  Area,Ready To Move,Rajiv Nagar,4 BHK,PuoodSk,2340,4,1,176
Built-up  Area,Ready To Move,Venkatadri Layout,1 BHK,Raiyai ,596,1,1,70
Super built-up  Area,Ready To Move,Koramangala Industrial Layout,16 BHK,,10000,16,,578
Plot  Area,Ready To Move,Kyalasanahalli,4 Bedroom,UpowsMe,1200,4,3,138
Super built-up  Area,Ready To Move,Ambedkar Colony,3 BHK,RMcesa ,1910,3,1,218
Super built-up  Area,Ready To Move,Brookefield,2 BHK,CidgeKn,1139,2,2,108
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,3122,5,2,253
Super built-up  Area,19-Aug,Sarjapura - Attibele Road,2 BHK,,1033,2,2,56.41
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,IBityin,1168,2,2,92.08
Super built-up  Area,Ready To Move,Chandapura,2 BHK,,877,2,3,70
Built-up  Area,18-Jul,Electronics City Phase 1,2 BHK,Shitt S,1340,2,2,103
Built-up  Area,Ready To Move,B Narayanapura,3 BHK,ShentAp,1405,2,2,98
Super built-up  Area,Ready To Move,Siddapura,3 BHK,,1800,3,3,93
Built-up  Area,Ready To Move, Devarabeesana Halli,3 BHK,Sorisa ,1750,3,3,177
Super built-up  Area,Ready To Move,Motappa Layout,3 BHK,Puodse ,1360,2,1,93
Plot  Area,Ready To Move,Malleshwaram,3 Bedroom,,675,2,0,176
Super built-up  Area,19-Jun,Byrasandra,2 BHK,Sancy R,985,2,1,91
Super built-up  Area,16-Jul,Victoria Layout,2 BHK,,1300,2,1,157
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brngsal,1850,3,2,178
Super built-up  Area,Ready To Move,Rustam Bagh Layout,3 BHK,Srowsee,1490,2,3,116
Super built-up  Area,Ready To Move,Byagadadhenahalli,2 BHK,VBavaai,620,1,1,53
Super built-up  Area,19-Aug,Hormavu,2 BHK,,1130,2,1,70.3
Super built-up  Area,Ready To Move,Yelachenahalli,2 BHK,BaiseBa,1080,2,2,83
Built-up  Area,Ready To Move,Singasandra,4 BHK,,3126,4,,148
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1410,2,3,80.17
Super built-up  Area,Ready To Move,Bommanahalli,3 BHK,,1375,3,2,87
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Maity W,1290,2,1,122.5
Super built-up  Area,19-Mar,Hosa Road,3 BHK,Skume R,1318,2,1,113.28
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Prarkun,1128,2,1,96
Plot  Area,Ready To Move,Meenakunte,4 Bedroom,Sreat R,4428,4,2,283
Super built-up  Area,21-Mar,Kanakpura Road,2 BHK,GolusLi,1051,2,2,84.74
Plot  Area,Ready To Move,Kengeri,3 Bedroom,,3500,5,0,303
Plot  Area,Ready To Move,Kannamangala,4 Bedroom,MIalerd,2400,4,1,158
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,PuziaVe,1327,2,3,113
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,Prtanha,2912,6,2,238
Super built-up  Area,Ready To Move,Basapura,2 BHK,Jaangm ,1301,2,2,83
Super built-up  Area,Ready To Move,Thippasandra,1 BHK,,650,1,0,58
Plot  Area,18-Jul,Varthur,3 Bedroom,,1200,3,1,95.75
Super built-up  Area,Ready To Move,Banagiri Nagar,3 BHK,,1500,2,2,117.99
Plot  Area,Ready To Move,Kumara Park,4 Bedroom,,2700,6,,703
Plot  Area,Ready To Move,Nagadevanahalli,4 Bedroom,,1350,4,2,173
Built-up  Area,18-Aug,Electronic City Phase II,2 BHK,Sryalan,1000,2,1,56.88
Super built-up  Area,19-Nov,Sarjapur  Road,2 BHK,AsastDe,984,2,1,73.91
Super built-up  Area,22-May,Jakkur,3 BHK,SoineC ,1819.18,3,1,188
Built-up  Area,Ready To Move,Nagarbhavi,1 Bedroom,,900,1,0,203
Super built-up  Area,18-Apr,Hebbal,3 BHK,Magiaya,1355,3,1,111.87
Super built-up  Area,Ready To Move,Sarakki Nagar,3 BHK,Sowerew,2145,4,1,298
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,Sariaat,2475,4,3,328
Super built-up  Area,18-Aug,Kaggadasapura,2 BHK,,1118,2,0,58
Super built-up  Area,Ready To Move,Roopena Agrahara,1 BHK,,910,1,1,70
Super built-up  Area,18-May,Madiwala,3 BHK,,1250,3,2,67
